OBJECTID,TRAIL_ID,TRAIL_NAME,TRAIL_CLSS,SURF_MAT,ENGINEERED,WIDTH,FENCED,WHEEL_ACC,CONDITION,INST_YEAR,INST_DATE,LIGHT,OWNER,MAINT,STATUS,COMMENTS,ADDDATE,MODDATE,SOURCE,SACC,FCODE,CODE,WALKING,HIKING,BIKING,ATV,SNOWMOBILE,SEASON,COLLECTED,UPDATED,TCT,RAIL,NATURE,ET_SOURCE,SECT_NAME,ASSOCN,DATASOURCE,OFFICIAL,NAME_APP,PLOW,GLOBALID,LEN,SHAPE_Length
104525,3701,SHEARWATER FLYER TRAIL,AT_GW,,,0,,,,,,,,,, ,,,,,RRRDTR,HRT, , , , , , ,2007/01/12 00:00:00+00,2007/01/12 00:00:00+00, , , ,HRM,,Cole Harbour Parks and Trails,TRAILS_APR11,,,,{F349F521-E70B-4921-BDDE-1E644950578D},12053.6107258368,0.0957382585183897
104526,1660,UNKNOWN NAME,PRIMARY,ASPH, ,1.5,N,,GOOD,0,,N,HRM,HRM,ACTIVE,minor cracks/ heaves,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{95DE6C4C-69AF-45B6-8268-D33D93161215},105.204103696536,0.000917591934210475
104527,1657,UNKNOWN NAME,PRIMARY,ASPH, ,3.3,N,,GOOD,0,,N,HRM,HRM,ACTIVE,access rd to cemetery-minor cracking,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{911333C3-2FBE-4E99-AA28-317D9B65B7AE},65.3634851020803,0.000503669577408509
104528,1661,UNKNOWN NAME,PRIMARY,ASPH, ,1.3,N,,GOOD,0,,N,HRM,HRM,ACTIVE,overgrown w/weeds -minor heaves/cracks,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{8D7690A8-4F5D-4D3C-B2FD-AA57DC0E326E},69.7035296162875,0.000524394109528458
104529,1769,UNKNOWN NAME,PRIMARY,CONC, ,1.5,N,,GOOD,0,,N,HRM,HRM,ACTIVE,part of sidewalk system,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{724A7A92-30CF-46A9-A34D-32C97A577E21},105.049057420788,0.000780271969300113
104530,2536,SANDY LAKE TRAIL, ,CRDS, ,3,N,,GOOD,0,,N,HRM,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{9A1C6DC0-7194-4375-8512-2EFC1A2ACAC6},234.451021153275,0.001675256482723
104531,2459,SANDY LAKE TRAIL, ,CRDS, ,3,N,,GOOD,0,,N,HRM,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{C3816B3E-D773-4183-8463-4BE339431EEC},193.432838978094,0.00131306496268986
104532,782,SANDY LAKE TRAIL,,CRDS,N,,N,,GOOD,,,N,HRM,HRM,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,{6F1FF4DD-056F-4EF3-AFF1-74957985E674},1240.10808730307,0.00900957002292803
104533,1489,MOSS CRT TO MAINLAND LINEAR TRAIL , WALKWAY,ASPH,N,1.8,Y,,GOOD,0,,N,HRM,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,NEIGHBOURHOOD,,,TPW_TRAILS,,,,{7F0A231F-7BC3-481D-BAA1-40F50F9892C6},62.6774058336305,0.000453618761111895
104534,973,GLENBOURNE PARK TRAIL , CONNECTOR,GRAV,N,3,N,,MARGINAL,0,,N,HRM,HRM,ACTIVE,some exposed rock throughout,,,,,,,,,,,N,,,,N,N,N,SPORTS FIELD & OFF LEASH,,,TPW_TRAILS,,,,{E21DAD12-7F2F-4787-89FC-EDBD7B50A477},268.710916933795,0.00191223135389304
